Parameter Name,Frequency
Dp. Civil Hospital Sonipat  Mob,1
ANA,1
A postive ANA teat ault        ve             ad      Tle Ch             a      port,1
older A pasilve AN car afe,1
A negatwe ANA raagP mnbes SLE an unin diagnose t usuady is Rot Nedeasaty fo IMmad.asiely ep,1
natire of autormmur ditesses. - Tay b,1
Sarai          J                                                                   Reyo. No. DMCR,1
CBC Thyroid Kidney Gunction Test Liver Function Test Lipid Profile Blood Sugar LH FSH Prolactin B-HCG TORCH CA-,1
PG -,1
NOT FR MEDICO LEGAL PURPOSE             aft zz afaen,1
. t,1
Negative resus do not exclude recent exposure or infection with HIV,1
Reyd Ne,1
- Ca,1
l   ON fi,1
.  a-,1
CBC Thyreid Kidney Fgaction Test Liver Function Test Lipid Prefile Biood Sugar LH FSH Prolactin B-NHCG TORCH CA-,1
ME (..-,1
NOT FCR MEDICO LEGAL PURPOSE             att ez Afr,1
Mobile No.                                                         Pd,1
a   a     C,1
ae                 wut. Wo. HN,1
CBC Thyroid Kidggy Fanction Test Liver Function Test Lipid Profile Biood Sugar LH FSH Pretactin B-HCG TORCH CA-,1
HE .-,1
ing Instant,1
NOT FOR MEDICO LEGAL PURPOSE            att we afr,1
Ret                     OSCAR HOSPSONIPA I                                       Reveiving On,1
Sample Frog           OSCAR HOSP SONIPA,1
Ant CCP                                        R,1
NOT FOR MEDICO LEGAL PURPOSE             wat ae afer,1
The Spirit,1
Patient Id ii                 SriNo.,1
The measurement of,1
Patient Id po                     Sri No.,1
levels. as compared to a lag time of,1
LDL CHOLESTEROL DIRECT,1
LDi  HDL CHOLESTEROL RATIO,1
wy    wd  s,1
SS                             MONO R,1
On P                                                                                       e,1
Sore                                     age,1
sh         a ee,1
CRP (QUANTITATIVE)              .,1
levels as COMpared toa lag time of,1
PITHELIAL CELLS,1
ot vitamin D (,1
Yieth Ret al. The urgent need to recommened an intake of Vitamin D that s effective. Am J Clin Nutr,1
of it further gets metabolized by hydroxylation in kidney to vit,1
saague NS,1
- Typhi DOT has high sensitivity and Specificity (,1
The test detects Parasitemia levels of,1
OMCR,1
Haryana Government     All Lab Test ICU  Ambulance Facility,1
Veco Skill,1
Al KALINE PHOSPHATASE,1
AiG RATIO,1
- Fost defence and tissue repair. There is a lag time of,1
izvels aS Compared to a lag time of,1
La                                  DMQLME,1
TE    ie                           Page,1
a                                                                                        e,1
e  come Government     All Lab Test ICU  Ambulance Facility,1
PCV HAEMATOCRIT,1
-crological antibodies based methods are of limited value. NS,1
A              Rea Din Ri C,1
.        ae    a  if                                               nae  f a,1
HaryanaGovernment  All Lab Test ICU  Ambulance Facility,1
ationt ld               SriNo.,1
In normal hes thy individuals CRP levels generally do notexceed,1
vols as Compated to a lag time of,1
Delhi Jal Board                   NOT FOR MEDICO LEGAL PURPOSE               C,1
Phe Stitt,1
Kooy ath    a                    D,1
MRP (QUANTITATIVE),1
On Panel                                                                e,1
Haryana Government  all Lab Test ICU  Ambulance Facility,1
Patient td I                 SriNo.,1
Ee             ee,1
levels. aS Compared to a lag time of,1
.    oo                         -,1
On P                                                                e,1
The Stall,1
Patient Id               SriNo.,1
MR OSWASTIKHOSPITAL),1
han,1
b IS CELLS,1
FIT HELIAL CELLS,1
- iGLYCERIDES,1
patient id aaa               SriNo.,1
CUANTITY,1
i nost defence and tissue repair. There is a lag time of,1
cvelS aS compared to a lag time of,1
ae                      LAC Sf,1
f e            at                                     .      wie)              ie in   a,1
its al a                                 YO U,1
TECHNIGIAN,1
_                                                                   e,1
Vhe Spruit,1
INict anew ARERR Cue Mian       .                   ul Tee ee JOS I a,1
rt      - Block - E Sector-,1
Phones     . BR,1
Diagnostics S. No.                          TTT HIT   MR No.                 MR,1
ample Receiving Date,1
Sample Collection Date,1
-t ORIDE,1
. .RUBIN TOTAL,1
JRIC ACID,1
POTASSIUM                                  L,1
INORGANIC PHOSPHORUS,1
Fhe Skit,1
__            a,1
.       y ani                .            Page,1
Car JBULIN,1
i RATIO,1
On Panel                                                                        e,1
-atient d                 SriNo.,1
- RUM CREATININE,1
-- JOD UREA NITROGEN (BUN),1
DIUM,1
) ASSIUM,1
Bowe tlie                   Or.,1
con,1
INJUGATED (D Bilirubin),1
ICONJUGATED ( D Bilirubin),1
oly,1
SPT,1
KALINE PHOSPHATASE,1
TAL PROTEIN,1
Delhi Jal Board                   NOT FOR MEDICO LEGAL PURPOSE,1
Rk BC COUNT,1
- G. OBULIN,1
AWG RATIO,1
On Panel                                                                   e,1
Haryana Government     All Lab Test (CU  Ambulance Facility,1
His ATC,1
TEICOPLANIN          S,1
z   -                   R,1
PCV  HAEMATOCRIT,1
On Panel .                                                                         e,1
-         eo                          oe              Property ID No.,1
DR.   WS ANJ AY           Bahadurgarh Distt. Jhajjar Haryana -,1
wunseecum HOSPITAL,1
Date                                              Lab No,1
It is recommended that the determination of HbAIC be performed al intervals of,1
Sample Coliection Date,1
Epithelial cells,1
Transaction Mo.,1
Mobile No.            .,1
HAEMOGLOBI,1
MOMOCYTE,1
PLATELATE CQUNT,1
MPY                       A,1
MCHC                                        L,1
(Ure--,1
AN                            egd No  WIOD,1
CBC Thyroid Kidetey Function Test Liver Fuaction Test Lipid Profile Blood Sugar LH FSH Prolactin B-HCG TORCH CA-,1
E..G -,1
NO FOR MEDICO LEGAL PURPOSE            wa ee afer,1
Diagnostics S.No.               QA UMIOUUINUUIDAUTINN A,1
Sample Receiving Date -,1
Mean Cell Volume (MCV),1
Mean Cell Haemoglobin (MCH),1
Mean Cell Haemoglobin,1
Neutrophils.,1
by      Dr. Raghunath R MBBS  MD                            Report Date  NNN,1
VOCATION                                  OrderNo _,1
Urine,1
GM swastikHosei,1
Referred By               Or Satender Pal Singh                                           Requisition Jj,1
Ward                      HDU Phase-II                                                Bed,1
Date of Collection,1
Bilirubin Total DPD,1
Bilirubin Direct DPD,1
Bilirubin Indirect (Calculated),1
Service No        -,1
ardRoomBed                                                        iS,1
ALT SGPT (IFCC-Without P-,1
Alkaline PhosphataseIFCC Amp,1
GGT IFCC,1
Total ProteinBiuret,1
Albumin BCP Bromocresol Green,1
Globulin (Calculated),1
AG Ratio (Calculated),1
Ti                    IPID.,1
SAMPLE RECEIVED DATE,1
Dethi Jal Board                   NOT FOR MEDICO LEGAL PURPOSE,1
Patient ld i                  SriNo.,1
.                       _,1
-                     .                                  .                     .                       ISO,1
Ward No        SP-,1
a                                                                 aT        ugdl,1
ASTSGOT IFCC-Without P-,1
Lymphocytes             O,1
Monocytes               Ol,1
Na BE,1
of Non A- Non B hepatitis accounting for,1
TRIGLYCERIDES,1
HLL CHOLESTEROL DIRECT,1
YLDL,1
DL CHOLESTEROL DIRECT,1
cst                          ee,1
HB AIC,1
It iS Fecommended that the determination Of HbAIC be performed at intervals of,1
ry A,1
Patient Id                 SrlNo.,1
ees                   Ph.,1
Date    a.               Srl No.,1
(Cyanmet. method)                                                    F,1
Dr. MRINAL VERMA            GNo.,1
UHID NOIPNo,1
a                      es,1
Uv    vv     r - Bed No,1
Chemis S wursnee ye.,1
Print Date  Time   po,1
Regd.Corp. MEE ygnus Medicare Pvt. Ltd. A-,1
Red NOE    Tel       OIF TOG                                         Bed No           -,1
ANTIBODY TEST FOR HIV -,1
tN             OA   -,1
On Pane                                                                  e,1
TOTAL LEUCOCYTE COUNT (,1
LYMPHOCYTES                                  a,1
MONOCYTES                               O,1
. eu COUNT,1
Regd.C     a. Cygnus Medicare Pvt. Ltd. A-,1
SamplingDate,1
Haemoglobin (HB),1
Tle,1
Lymphocytes               _,1
_ Easinophils                    O,1
RBC Count        OO,1
RCV (Haematocrit),1
MVS,1
POIAN BAI QOHA,1
Jhajjar Road Bahadurgarh,1
ba                                                 No. R,1
MICROBIOLOGIST                          vg. No. DMC-,1
ga. No. DMC-,1
BAN elesctes Ht ple ser ort,1
Ys                qu         Property ID Mo.,1
.                          aff                                       iy,1
BE     No.,1
mi JANI AY                      .         Bahadurgerh Distt. Jhajjar Haryana -,1
van aeear FIOSPITAL,1
Wane MWR Sonu .. Agé,1
Cate                                                    LabNo,1
S.Creatinine,1
S. Uric Acid,1
F -,1
TAL CHOLESTEROLHDL RATIO,1
On Panel                                                                 e,1
The Sfirtt,1
.Bilirubin Total,1
Direct,1
Indirect,1
Up to,1
Lab technjflan,1
Lab csi,1
w                                    lof        KON                  Opp. Metro Pillar No.,1
DR.   ANJ AY                     sl               Bahadurgarh Distt. Jhajjar Haryana -,1
Cote i                                         LabNo,1
Labfpchnicjan             yee,1
Ds os - So.,1
ve                                     stn                    Property ID No.,1
f            aS                                   Sy             Q                  Opp. Metro Pillar No.,1
On Panel                                                                     e,1
On Panel                                                                  e,1
One                                     grey                     Property,1
Vy                                   Sy           Q                  Opp. Metro Pillar No.,1
REGD NO,1
.                 y                                    SE       RON                  Opp. Metro Pillar No.,1
Date                              LabNo,1
_ Agglutinin titre greater than,1
Cate                                             me,1
Reaction         Acidic (,1
z  Oo,1
Ref.                    Dr. Paediatrics Team                      P,1
. Sampling Date    ee,1
Patient ld i                SriNo.,1
foe                           CMON.,1
oe                           Page,1
Sodium - Serum,1
Potassium - Serum,1
Calcium - Serum,1
www.shriramsinghhospital.com                           SRSW,1
k a     ts                                                                                            Sy,1
CARE YOU DESERVE                             (A Unit of Shree Ram Health Care),1
Ref.                      Dr. Paediatrics Team                       pe,1
OK.    ANJ AY,1
est                                                                                           e,1
e  Haryana Government     All Lab Test (CU  Ambulance Facility,1
Patient                 SriNo.,1
CikP (QUANTITATIVE),1
i YelS aS Compared to a lag time of,1
oo                                                         DMCR,1
a                                                                                   e,1
e Haryana Gavernment     All Lab Test ICU  Ambulance Facility,1
OD SUGAR RANDOM,1
order to implement appropriate treatment during early course of teh disease  NS,1
- aiggical antibca.es based methods are of limited value NS,1
-- ny the first day up to,1
-cngue NS,1
ye ws o,1
OnP                                                                                          e,1
(ON daar,1
-MCH. BB     pe,1
platelet Count,1
Row ttiSiiiiaittwS,1
Créated Bye u,1
www.shriramsing   ospitai.com                               SRSMOn,1
Bill,1
Ref By             EU NT-,1
Patient ld aay                 SriNo.,1
WIANTJAY             F               Bahadurgarh Distt. Jhajjar Haryana -,1
Date                                                                                    LabNo,1
-                      Procalcitonin,1
IONIC CALCIUM,1
Vo                  ssIXI          Property ID No.,1
pat                      yy    a           Opp. Metro Pillar No.,1
SD ANJ AY                    Fy   er   )  y          Bahadurgarh Distt. Jhajjar Haryana -,1
LabNo,1
SOPHIL,1
- ATELET COUNT,1
- VI HAEMATOCRIT,1
Vi CH,1
ViCHC,1
os   ak     ot                        My VN nn              .,1
Patient ld ay                SrlNo.,1
CT rdge ev bans foo.,1
_OSINOPHIL,1
i) ATELET COUNT,1
PC Vi HAEMATOCRIT,1
MoV,1
M CH,1
Pp                                                                          e,1
o Haryana Government     All Lab Test ICU  Ambulance Facility,1
INOCYTE,1
Monocytes                  O,1
Eosinophils                  QO,1
Basophils      a         QO,1
B.Sugar (R) _,1
PC.V HAEMATOCRIT,1
VM CHC,1
On Panel                                                                    e,1
N- UTROPHIL,1
Puegrr-,1
soured                              WM),1
ae ate                            Test Authenticated at -,1
LN ELCYCEIC CFFRULLINATED,1
se   stat. on of tne membrane lininc roints.The cisease spreads from smal. tc,1
Pohl RR). Chl fb Llaucec,1
DOPIf PA,1
(Cyanmet. method)                                                  F,1
CBC Thyroid Kidney Fanction Test Liver Function Test Lipid Profile Blood Sugar LH FSH Preiactin B-HCG TORCH CA-,1
NOT FOR MEDICO LEGAL PURPOSE             wat Be afr,1
Mobile N. iii                                    P,1
VITAMIN ),1
Deficiency  Below,1
Insufficiecy,1
(CWUSY) Nave toen aescolated with Qe.,1
i  PEEPS Ft Lt winamin,1
Toxicity  Above,1
response fo sunlight. Erogocalcifero ( vitamin D,1
supplements The assay mesures both,1
Vitamin Ojstatus is best determined by measurement of,1
the majodcirculating from and has longer half life (,1
vitamin OS-,1
S.VitamingD level shows seasonal varition with values being,1
Mobile Nq           .     pg             id,1
yoht DOT has high sensitivity and specificity (,1
_                    Sample Accepted at RRB,1
og                   Test Authenticated at,1
EEAMIN D (,1
oe ee hamunescence wit) serum                                                 SUSFICISMeD,1
UPER SAFETY LIMIT,1
Df   Oo    Lo  Loe,1
Sufficiendy,1
Aer Te thrall sommaren ra the setlve,1
Ae Yoo       Set hs                          i,1
. .                       bere,1
e Haryana Government    all Lab Test ICU  Ambulance Facility,1
atient                SrINo.,1
JIAL LEUCOCYTE COUNT (TLC),1
f JSINOPHIL,1
utient Id                SriNo.,1
soon fe,1
REATININE,1
SERUM RIC ACIO,1
SERUM GDDIUM,1
SERUM FADTASIUM,1
SERUM GALCIUM,1
CBC Thyroid Kidney Function Test Liver Fenction Test Lipid Profile Blood Sugae LH FSH Prolactin B-NCG TORCH CA-,1
ENE (..-,1
cac        Wraeeay  uaction Test Liver Function Test Lipid Profile Bloed Sugar LH FSH Prolactin,1
E..G.-,1
NOT FOR MEDICO LEGAL PURPOSE            WaT az Afar,1
Mobile No.,1
CRE,1
Reyo No-Bnter. i,1
pKa PHOSPHATASE,1
AROTEN,1
te ly                              EW oe,1
peceitans Mrs PREE  KA                  et Omir        O,1
na                     Sample Accepted at NIN,1
Ss bemale                      Test Authenticated at -,1
Clinical  Information -                                                            UPER SAFETY LIMIT,1
oe Fone metab isn. keaiced,1
SS x          Consistaai,1
gel (              Regd. No.- DMC,1
i omagner ce centretise vutparzd to the active,1
s   v,1
)                                                                             e,1
Haryana Government    Al Lab Test ICU  Ambulance Facility,1
Deki,1
OSCAR SUPER SPECIALITY HOSPITAL,1
lif A,1
lis recommendec that the determination of HbAIC be performed at intervals of,1
b    p                                                                                             e,1
oni Ge Government     All Lab Test ICU  Ambulance Facility,1
ISH,1
MONTH -,1
MONTHS-,1
ae z  ey           Regu. No.- DMC,1
CBC Thyroid Kidney Function Tes Liver Functioa Test Lipid Profile Bleod Sugar LH FSH Pretactin B-HCG TORCH CA-,1
NOT FOR MEDICO LEGAL PURPOSE            eT az ATH,1
P                                                                          e,1
aryana Government  All Lab Test ICU  Ambulance Facility,1
Patient Id              SriNo.,1
El THELIAL CELLS,1
atyana Government  All Lab Test ICU  Ambulance Facility,1
HBAIC,1
ecent history (approx -,1
It is recommended that the determination of HbAIC be performed at intervals of,1
__                   e,1
Mobile No.             pg,1
mPv ff         wp,1
ets WS                    (Obs,1
cl Ak            Regd. HN,1
ADULTS,1
before the onset of sleep reaching peak levels between,1
liurnal variation in TSH level approximates,1
NOT FOR MEDICO LEGAL PURPOSE             at we afar,1
Mobile Nc                                  a,1
TOTAL BIEIRUBIN,1
ORRECT ILIRUBIN,1
INDIREC  BILIRUBIN,1
Rega. No.,1
ns es         Regd. HN,1
CBC Thyrold Kidney F  nction Test Liver Function Test Lipid Profile Bleod Sugar LH FSH Prelactia B-HCG TORCH CA-,1
RBC Count (Red Blood,1
PCV (Haematocrit),1
Mean Corpuscular,1
.                          .                                  ISO,1
.                               _ SriNo.,1
i VERNA,1
Transacton No.,1
Mobile,1
Calicut,1
Tel.,1
UHID  IP         EE,1
Dr. Raghunath R MBBS  MD                            Report Date. JNNNNMO,1
a       a,1
APTT,1
Haemoglobin Estimation,1
Total Leukocyte Count,1
Ward No      SP-,1
UDA WMANUUIV NEN ALAA A                                    OrderNo __,1
Potassium                                           (,1
Glucose Random (RBS),1
C Reactive A,1
Red cell distribution,1
Platelet distribution,1
Mean platelet,1
Patient id                 SriNo.,1
VAL,1
ne                                         Page,1
laryana Government  All Lab Test ICU  Ambulance Facility,1
SE neu                  Mo,1
CBC Thyreld Kideey Function Test Liver Function Test Lipid Preflie Bloed Sugar LH FSH Prolactin B-HCG TORCH CA-,1
..G.-,1
NOT FOR MEDICO LEGAL PURPOSE             wit me Aho,1
Dethi-Rohtak Road Bahadurgarh-,1
e                               O S p       a          Ph.,1
Hate,1
_ a       Age,1
Reg to DNIC-,1
w MCRD UNAM LS ORS OCERWGHT FASTING COND ON  RELJIRED OCR OL AI FEA THIGLYCER GES LIPID PROELE,1
Bilirubin Indirect,1
infants. Most neonates develop mild unconjugated hyperbilirubinemia between days,1
HII.  holesteral,1
LDL. Cholesterol                     OK.,1
. PEM SER URI WAT FALSELY ELEVATE A WALINE PteoSPHATASE SCO LAL TILIA TOTAL PROOTINS ANT CREAT NINE AND MAY P,1
Tras REMIT ty OR Terk OE SUAL OF OCCTORS Olt y NOT FOR VED OLE GAL ASL,1
D       lh        H                                           Dethi-Rohtak Road Bahadurgarh-,1
e               l                  O S p       a          Ph.,1
MG-,1
wW CLUINAPCAL CCRREUA,1
OMLT                                  M.,1
eee,1
w MORE TrAre,1
TIS REPORT IS  C,1
Oharambir Doshwal     Gohana Road Krishan Pura PANIPAT-,1
Omir                       M.,1
Serum  hoalesterol                    STAC,1
Serum brigdycerides,1
This ts,1
confirmed By supplemental assays like RIBA_.HCV antibody,1
VID. Cholesterol,1
Serum Amylase,1
Serum Lipase,1
CRP Quantitative,1
h       oad Krishan Pura PANIPAT-,1
Oharambir Deshwal     Gohana Road,1
Oharambir Deshwal     Gohana Road Kris,1
een,1
Referred By Dr. Anil Mittal,1
.      Blood Urea,1
(Cyanmet. method)                                                 F,1
Monocytes _          Ql,1
E.S.R,1
( Tech W.G.),1
Serum.Chloride,1
Direct(Conjugated),1
Indirect(Un-Conjugated),1
Serum Protein,1
Serum Albumin,1
Pus Cells       ...,1
Epithelal Cells...,1
ishan Pura PANIPAT-,1
Regd. Offece,1
.                                                                                                                       Web wow bepairiel gcc CIN C,1
Collected  MN,1
Mahmoor Ganj Ashirvad Hospital Varanas -                           Mahmoorgan Varanasi -,1
or Total,1
Bilirubin Direct,1
Serum Sodium(Na),1
Serum Potassium(K),1
levels are typically,1
concentration above,1
C-REACTIVE PROTEIN CRP SERUM,1
AAA TT                  Page,1
ai.,1
No   i,1
Serum Globulin,1
CRP Quantitative-qtap a,1
t.     _to-  Se  eo    et.    oo       feos,1
ofan Hoeptal  Emergency Ling,1
H CARE SERVICES                                 Regn..No-PASREGGGN,1
a                  HEALT                                                  es            nee          AP. Id -,1
S.G.P.T.                               __,1
SERUM ALKALINE PHOSPHATASE ___,1
TOTAL PROTEINS                     _,1
Lymphocytes                 i,1
(                                 (),1
OF MEDICAL SCIENCES (P) LTD. _  G) .,1
Reporting Date       him          Reporting Time,1
POLYMYXIN B(POL),1
be ouiyabon                                     mts                   Has di              (bye,1
a    sob hy                               we,1
I       aleoodsn                                   It,1
nn ees or es,1
Chr                                             SO                         Property ID No.,1
YY                                     SE    SUN                   Opp. Metro Pillar No.,1
he       aX                     ey           s          Bahadurgarh Distt. Jhajjar Haryana -,1
Date                                        LabNo,1
AN ISO CERTIFIED,1
(       Q Umang Hospital. Bulding No.,1
Pataudi Road Gurugram-,1
Gurugram -,1
MBE SM,1
aur                        Property ID No.,1
wy                       Fam           Opp. Metro Pillar No.,1
AS any AY                 y        oz Distt. Jhajjar Haryana -,1
Dr. MEGHA KESHAR                    oS   rH   oe                       DMC eg.,1
MBBS MD (PATHOL                        SY YA,1
REG NO.,1
Delhi-Rohtak Road Opp. Metro Pillar NOH,1
BILIRUBIN TOTAL                                            mgdl,1
(GLOBULIN,1
- WG RATIO,1
UNCONJUGATED (I.D.BILIRUBIN)                                                 mgd,1
TOTAL PROTEIN                                           BOL                 gmidi,1
AIG RATIO,1
MG Hospitals fa unit of Asian Institute of Gastroenterolagy CIN LIG,1
Phone - I,1
Ward No       SP -,1
NORMAL CONTROL VALUE,1
International Normalized Ratio,1
.                        Page,1
MICAL CORELATION,1
GAMMAT-GT                                                           H                   IAL,1
ols wir.,1
y                     _                                 .                      .                        ISO,1
mc-,1
Date a                                         LabNo,1
_ Lab techrfcian            pr Nate MD (P,1
MBE,1
Aakash Healthcare                           H-,1
Pationt a A             AgeSex,1
GAMMAT-GT,1
a                      .                                  .                     .                       ISO,1
-iInN First hour,1
Date p                                                SNo.,1
C.R.P. (Quantitative)               Gw                                 mgdl,1
Super Speciality Hospital                                                                          -,1
UHID                     AHDW.,1
Episode                  IP                                                           IPBed,1
ea _,1
Urea                                            i.,1
WISH YOU GOOD HEALTH,1
D       lh                                            Delhi-Rohtak Road Bahadurgarh-,1
e                          O S p      a        Ph.,1
Pe                                                     Age,1
key. Ne.,1
MORE TA f,1
SULTANT PATHOLOG,1
G.NO.,1
slogica Ihe reauét. may atso vary.,1
pation i,1
eas              Ph.,1
Date        S                                 Sri No.,1
or. MRINAL VERMA                     GRNo.,1
- DECENT HOSPITAL  s,1
(Osc a CSA TAINS HOTTIE LAP.Q LIT ROT ARS An. Hey BLY                                           SADP,1
rise (u approximately,1
DR.  wD ANJ AY                     fy              a           Bahadurgarh Distt. Jhajjar Haryana -,1
bate i                                                        LabNo,1
MO PATH (Reg no.,1
dogical the result may also vary,1
Call for ABG,1
CRP (C-Keactive Protein),1
Wise to approximately,1
MD PATH (Reg no.,1
Patient Name      Mr. SANDEEP KUMAR                        IPID,1
UHID             AHDW.,1
Address              _ R,1
ae .        Dr PRATIBHA PL NDHIR                      Requisitions,1
FRECT BILIRUBI,1
i or   es,1
Sultanpur Chowk. Nr. Dhulkot Barrier. Ambala Chandigarh Expy. Ambala. Haryana,1
We            OS,1
Date p                                                  SNo.,1
CLRECT,1
S.G.P.T.         .,1
Free Triiodothyronine (FT,1
Free Thyroxine (FT,1
Thyroid Stimulating,1
Parameter Unit       OR,1
aremmere,1
P_C.V. Haematocrit Value,1
Result -            mm induration is seen after,1
No AFB In,1
fF           CREDIT                              Sample Date,1
REGDNO,1
oO                               DMO NC,1
Vedanta Path Labs,1
Mob.                ee,1
sims Bathiekalatak Road Opp. Metro Pi,1
IP No.           -,1
PH.,1
RBCS                                    NIL                      npf,1
BBS. MO A LocisT                      fy),1
Aa ELIMIN,1
a SNo.,1
TOTAL LEUCOCYTE COUNT            _,1
OF MEDICAL SCIENCES (P) LTD. (i,1
Websi,1
Pf         -,1
. IP No.          -,1
Dr. MEGHA KESHARWA       B A,1
Reporting Date,1
Meher KESHARWANI,1
BSE NO.,1
PATIENTID  FH.,1
ernl    OSp,1
Sunday .,1
ae Ea                                       SriNo.,1
mm                            Age,1
UNCONJUGATED (I D Bilirubin),1
CGTP,1
Reg. Ne. Diar-e,1
from Beta thalassaemia tralt (,1
MBBS. Ne ROL GIST       Zs         L,1
SULT .              c            rn,1
REG. NO. ee          Sutin nyaehe                                    REG. NO. DMC.,1
SUN Rohtak Road Opp. Metro Pillar No.,1
ser                                                                                                age,1
.     -                   q t -                   t                   vY,1
-                                                                                                   MC-S,1
Thyroid Profile ( Free T,1
SECTOR,1
SHORE ROADSECTOR,1
NAVI MUMBAI,1
JPD-,1
ABSOLUTE NEUTROPHIL COUNT,1
ABSOLUTE LYMPHOCYTE COUNT,1
RBC AND PLATELET INDICES-Mentzer Index (MCVRBC) Is an automated cell-counter based calculated screen tool to differentiate cases of Iron defictency anaemla(,1
TSH           ulUml,1
Note  TSH levels are subject to circadian variation reaching peak levels between,1
and at a minimum between,1
Padghane (Reg No. MMC,1
Hiranandani Hospital (A Fortis Network Hospital) Mini Seashore Road Sector,1
Navi Mumbai,1
SOF,1
SIN NoB,1
specific,1
if the resuits(,1
Loc-Req No,1
HAEMATOLOGY Bed No,1
-rint Data              dress ANGKIROABY BoGep Pag. Civil Hospital Near BSNL Office Rewari Haryana-,1
am SOdium(Nat),1
Chloride(CL-),1
Calcium(Total),1
BANSAL HOSPITAL       BANSAL      srenah the (eey-asn,1
Shahpura Bhopal (M.P.) -,1
www.bansalhospital.com                           Hos pi ta                                      at o,1
Reg. No. NH,1
Be BH,1
-                         Neurology                                        Report Date,1
BLAB,1
separately identifies IgM and IgG antibodies. The test Is based on the presence of specific IgM and igG amisos-es io,1
Order Date       EE,1
CREATININE (mgdL),1
UREA (mnydL),1
metal                     TETEEHE,1
ica te,1
eS        aoTeearchst Vat          NABH         wae,1
ope           -,1
UHI,1
a ed ed sO,1
Foe cont,1
a a ee ed,1
electrowtes- soplum,1
icanponate,1
THYROIDPROFILE-FREET,1
LFT - BILIRUBIN - TOTAL,1
D       lh                                                               Dethi-Rohtak Road Bahadurgarh-,1
TOTAL PROTEINS                                                                  GmdkL.,1
an .laze   Tam,1
WBCPUS CELLS (PER HPF),1
EPTIHELIAL CELLS PER HPF),1
AMORPHHOUS (PE,1
Regd. No.       IR,1
Wine                           Regd. No-,1
CBC Thyroid Kidney Function Test Liver Fuaction Test Lipid Profile Blood Sugar LN FSH Prelactin B-HCG TORCH CA-,1
MMM by  Or. ADITI MEHROTRA                                Report Date MMo,1
NOT FOR MEDICO LEGAL PURPOSE             att Bee Afra,1
Mobile Nb.                                               P,1
Regd. No       R,1
CBC Thyroid Kidney Function Test Liver Fuaction Test Lipid Profile Blood Sugar LH FSH Prolactin B-HCG TORCH CA-,1
E.t .G.-,1
NOT FOR MEDICO LEGAL PURPOSE            way ae Afra,1
BLOOD UREA __,1
Serum Sodium (Na),1
Mby  Dr. ADITI MEHROTRA                                     Report Date,1
D       lh        H                                          Dethi-Rohtak Road Bahadurgarh-,1
e                             O SD       a         Ph.,1
EO           Age,1
tt(AEMOGLOBIN (HB),1
TOIAL LEUCOCYTIC COUNT (TLC),1
t YMPHOCYTE,1
S.Phosphorus,1
f  av                  -        .                                                       .                 .,1
HE Dot (Salmonella Typhi) (IgG,1
membrane protein (OMP) of the Salmonella typhi. The typhidot test becomes positive within,1
MM by  Dr. ADITI MEHROTRA                                Report Date MMo,1
Serum Chloride,1
sarvodaya                                      O,1
ES Or. ADITI MEHROTRA                                Report Date MM,1
Soe FT NGOS CoereDarative clincopathological Interpretation is indicated. In case of any disparity including   ey X,1
CLOTTING TIME,1
S.G.P.T.,1
Toteon-,1
Sates    t                                                       Sampla Fecawed,1
.                 OE css en                 ee                     Pant Date hun,1
ne    P    Patient ID,1
x.             BLOOD GLUCOSE RANDOM,1
Tel. No Q.,1
SERUM AMYLASE,1
ne            SERUM LIPASE,1
SERUM BILIRUBIN (TOTAL),1
TED ( Direct ),1
CONUS rimeitic-Diaz,1
UNCONJUGATED ( Indirect ),1
WHEL,1
Mobile No.                                  PF,1
Regd.Corp. Office  Cygnus Medicare Pvt. Ltd. A-,1
Req  OF Ia  ene     e,1
__                                    es,1
PT (PROTHROMBIN TIME),1
CONTROL,1
Hospital Address  Old Sheela Yadav Hospital. Opp. Civil Hospital Near BSNL Office Rewari Haryana-,1
Regd.Cprp. Office  Cygnus Medicare Pvt. Ltd. A-,1
.E.G.-,1
Usp,1
Pell nidbe BOHRA IPLOIRA tion,1
SEROLOGY           Bed No                             HDU-,1
.                 Plasma at a concentration of as low as,1
Print Dat Time QR,1
Hospital            a a,1
Regd.Corp.          Cygnus Medicare Pvt. Ltd.. A-,1
SOM BAZAR MAIN ROAD OPP.-BEDI MARKET DELHI-,1
Date        po                                       SriNo.,1
Home Collection Facility Available                                         Contd...,1
PLEASE CO-RELATE RESULTS CLINICALLY IF THE RESULT(S) OF THE TEST(S) IS ALARMING OR UN EXPECTED THE PATIENTTREATING DOCTOR IS AD V,1
Q-GI-,1
FULLY AUTOMATED COMPUTERISED LAB.   ISO,1
MDs zDEEPAK SHARMA               ot,1
AGE IN YEARS     GFR IN mLmin,1
Sensitivity,1
.                                                         .                           rt Date,1
Serial No,1
Blood Sugar Random,1
Total WBC count,1
Calcium lonized,1
Serum Chlorides,1
. (,1
MCMC,1
SERUM SODIUM (Na),1
SERUM POTASSIUM (K),1
TYPHIDOT TEST (ANTI BODY),1
Epithiliaf Cells,1
Date                Pp                                                    SNo.,1
__JWM,1
Positive result in,1
.              SERUM POTASSIUM,1
OPP. GOVT. GIRLS SCHOOL CIRCULAR ROAD REWARI-,1
PS Te,1
BLODD CULTURE -,1
provided within,1
._ PMC -,1
te _,1
